Nome da UC,Esfera Administrativa,Sigla Orgão Gestor,Situação,Categorias de Manejo,Código CNUC
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO JOÃO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1429
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO SOSSEGO II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2165
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA FAZENDA HR - DOURADINHO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2172
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SAN MICHELE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1056
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BIO ESTAÇÃO ÁGUAS CRISTALINAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1092
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOSCO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2105
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOM SUCESSO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1362
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA CALAÇA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2161
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GRANJA REDENÇÃO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1150
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SOLUAR,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1355
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SARANDI,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1304
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DO CAPETINGA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2149
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DO SENHOR,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3076
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAGOA DAS CAMPINAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1397
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESPERANÇA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2100
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO CERRADO II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3681
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA COQUEIROS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1418
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GRACIOSA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2702
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IRMÃOS SATELIS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3090
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL V,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2200
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2131
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PEDRA BONITA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1288
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CAPÃO BONITO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1244
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAJUEIRO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1404
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE ECOLÓGICO ARTEX ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1086
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DR. PHELIPPE DAOU,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1447
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SERRA DO CARAMANDU,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2188
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOA VISTA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1389
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA LUZIA ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1364
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA FAZENDA BONITO DE CIMA II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2166
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA RELÓGIO QUEIMADO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1058
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MAJOR BADÚ LOUREIRO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1205
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARANÃ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2232
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DAS PALMAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1119
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PEDRA D'AGUA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1210
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ARARAUNA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1425
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO CORISCO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1180
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PICO DO BARBADO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2123
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA ÁGUIA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2151
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO LAGOA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3663
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IGUAÇU I,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1181
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AMBIENTALISTA FRANCY NUNES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1383
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PINDORAMA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2110
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIACHO DAS PEDRAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2194
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOSSA SENHORA APARECIDA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2143
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CABECEIRA DAS FLORES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1291
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMAVERA I,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1182
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA V,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1072
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DAS LONTRAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1102
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO GRIMPAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1307
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALDEIA EKINOX,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1444
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TIBIRIÇÁ ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1212
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BRANQUILHO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1117
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CHICO BIMBINO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3678
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA BEATRIZ DO CARNIJÓ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1199
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CACHOEIRA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1268
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ARARA AZUL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1243
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA METODISTA ANA GONZAGA - CEMAG,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1146
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO BIOLÓGICA DA MATA DO SOSSEGO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1267
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA ALTA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2076
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CENTRO DE PESQUISA ESPELIOLÓGICO - AURORA NATURA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3077
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ITAPUÃ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1349
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANGUÇU,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2078
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SIRIEMA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2189
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA CAIMAN,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2102
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JACUBA VELHA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2124
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA AMADEU BOTELHO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1050
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARIE CAMILLE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2133
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GRAZIELA MACIEL BARROSO ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1166
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA FLORESTAL ENGENHEIRO JOÃO FURTADO DE MENDONÇA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2177
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS NASCENTES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3668
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA AMÉRICA AMAZÔNICA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1224
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTIVA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1318
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PITHON,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1052
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MERCÊS SABIAQUABA E NAZÁRIO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1384
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CHANCELER EDSON QUEIROZ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2084
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PAPAGAIOS-DE-ALTITUDE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3662
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOA ESPERANÇA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1320
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PERNA DO PIRATA ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2152
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAGOA DO PEIXE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1426
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO CAJU ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2095
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SANTA MÔNICA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1338
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOQUEIRÃO DOS FRADES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1196
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA POUSO DAS GARÇAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2186
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO BUGIO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1284
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BREJO NOVO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1297
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JUERANA MILAGROSA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3667
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TAIPA RIO DO COURO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2218
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL  RIO DOS PILÕES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2201
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PALMITAL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1083
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PIONEIRA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1214
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MARIA VELHA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1373
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VILLA SÃO ROMÃO ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2235
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3683
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL - RESERVA ECOLÓGICA DO PANGA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1258
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS DUNAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1420
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO RÃ-BUGIO I,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2210
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA SOBRE PEDRA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3680
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE NATURAL LEONILDO FERREIRA 2,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1132
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARIA FRANCISCA GUIMARÃES ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1169
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MARAGATO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2181
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL III,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2198
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL QUERÊNCIA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1149
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CONTENDAS II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3661
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TAIPA DO RIO ITAJAÍ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2217
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RINCÃO DAS FLORES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2195
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA BRANCA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1357
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO CARAÇA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1247
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO RYAN,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1068
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA UMBURANA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2192
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA CAPITÃO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2162
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GUARÁ I E II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1399
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUA BOA ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1133
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS DE RIO DE CONTAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3070
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA ESTRELA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1137
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DA PENINHA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1406
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA JOSÉ GIMENES SOARES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1227
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL I,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2196
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA JATOBÁ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1063
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GIBEÃO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2708
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TUPAQUIRI,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1127
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SUMAÚMA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1213
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA GULANDIM,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1463
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1078
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÊS MORROS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2221
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SERRINHA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1073
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DOS JACUS - RESGATE VI,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2138
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA RESSACA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1248
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CEC/TINGUÁ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1179
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DO ROBALO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1106
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL EL NAGUAL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1160
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RAMA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1229
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA UNIÃO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2070
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA FUNDAÇÃO ROCHA LOURES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1262
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATO VIRGEM DO LAGRADOURO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1293
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NOSSA SENHORA DAS GRAÇAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1144
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO CARAGUATÁ I,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1079
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL  MORRO DA CRUZ DAS ALMAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1274
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PÉ DE SERRA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1395
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DOS PÁSSAROS ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1066
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA CRISTINA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1370
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1071
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO FRANCISCO DA TRIJUNÇÃO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1411
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NATURA CERRADA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3074
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JUERANA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1427
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO ANGABA ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1153
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA JUREMA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2179
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO PROFETA ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1345
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SONHADA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2216
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAETEZAL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1097
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA CLARA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1209
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CARA PRETA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1330
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PORTO FRANCO ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2155
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL APA DA LAGOA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1342
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JATOBÁ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2126
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BELA AURORA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1062
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DA MATA FRIA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1225
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOA ESPERANÇA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2103
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SILVO AGRO-PASTORIL GONÇALVES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1054
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ARAUCÁRIA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1088
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA FAZENDA BONITO DE CIMA III,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2167
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BOCA DA MATA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1329
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1059
