Nome da UC,Esfera Administrativa,Sigla Orgão Gestor,Situação,Categorias de Manejo,Código CNUC
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AJURICABA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4522
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ILHA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4520
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLIVEIRA AMANTE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4519
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4518
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ENCONTRO DAS ÁGUAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4517
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO JUJU,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4516
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL  CHAPÉU DO SOL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4514
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CARAÍVAS COMUNIDADE VALE DA DHYANA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4513
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRAVESSIA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4512
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL POSSE DOS FRANCIOSI,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4511
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NINHO DA TARTARUGA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4509
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ELDORADO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4506
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JATAIPEBA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4504
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TERRA DE MARIA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4503
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BOA ESPERANÇA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4497
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PAIQUERÊ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4492
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DA BELA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4491
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4490
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SEGREDOS DO CERRADO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4489
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA BÁRBARA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4485
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PAU TERRA II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4487
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RANCHO DE LUAR,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4482
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA ENCANTADA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4481
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CATADUPA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4478
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SIMPLICIDADE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4476
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO CLARO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4475
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRINHA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4474
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTINHO DO RIO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4473
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO ECOLÓGICO OLHOS D'ÁGUA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4472
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CARAÍVAS CHÁCARA VALE DA DHYANA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4471
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DO SÃO JOSÉ II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4470
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MAGIA DO CERRADO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4469
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TAIPA RIO DO COURO II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4468
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA FONSECA - IRMÃ HELOÍSA E MAURÍCIO HOLANDA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4466
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IRACEMA VALENTE FRANCO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4464
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SOL E LUZ,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4463
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AVÁ-CANOEIRO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4462
PARQUE ESTADUAL DE CORUMBIARA,Estadual,SEDAM,Ativo,Parque,0000.11.1495
PARQUE NATURAL MUNICIPAL DO MANGUEZAL DO RIO PEREQUÊ,Municipal,SMMAAP,Ativo,Parque,9954.41.4609
APA PARQUE DAS MANGUEIRAS,Municipal,SEMA,Ativo,Área de Proteção Ambiental,0205.11.4601
ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA,Federal,ICMBio,Ativo,Área de Proteção Ambiental,0000.00.0020
PARQUE MUNICIPAL NATURAL DE PIMENTA BUENO,Municipal,SEMMA,Ativo,Parque,0189.11.4597
PARQUE NATURAL MUNICIPAL CACHOEIRA DE SÃO LEANDRO,Municipal,FSAM,Ativo,Parque,4508.33.4592
PARQUE NACIONAL DA LAGOA DO PEIXE,Federal,ICMBio,Ativo,Parque,0000.00.0140
REFÚGIO DE VIDA SILVESTRE DA ILHA CHAÚ,Municipal,SEMMA,Ativo,Refúgio de Vida Silvestre,1709.15.4587
PARQUE NACIONAL DO SUPERAGUI,Federal,ICMBio,Ativo,Parque,0000.00.0178
RESERVA BIOLÓGICA BOM JESUS,Federal,ICMBio,Ativo,Reserva Biológica,0000.00.2634
ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,Federal,ICMBio,Ativo,Estação Ecológica,0000.00.0054
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,Federal,ICMBio,Ativo,Área de Relevante Interesse Ecológico,0000.00.0043
ÁREA DE PROTEÇÃO AMBIENTAL DOS MEANDROS DO ARAGUAIA,Federal,ICMBio,Ativo,Área de Proteção Ambiental,0000.00.0024
RESERVA EXTRATIVISTA TAPAJÓS ARAPIUNS,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0259
PARQUE NACIONAL DA SERRA DO TEIXEIRA,Federal,ICMBio,Ativo,Parque,0000.00.4581
MONUMENTO NATURAL MORRO DO MORENO,Municipal,PMVV,Ativo,Monumento Natural,5200.32.4582
RESERVA EXTRATIVISTA LAGO DO CEDRO,Federal,ICMBio,Ativo,Reserva Extrativista,0000.00.0287
ÁREA DE PROTEÇÃO AMBIENTAL DE CAFURINGA,Estadual,IBRAM,Ativo,Área de Proteção Ambiental,0000.53.1640
